systematic_name,true,prediction
YDL135C,-0.0289317,0.0859076013650662
YDL155W,-0.0030535,0.0859075189974851
YDL159W,-0.0386,
YDL160C,0.341,0.0
YDL167C,0.0498799,
YDL170W,0.0807525,
YDL171C,0.0233703,
YDL175C,0.0482552,
YDL179W,-0.0443753,
YDL188C,0.0106,
YDL190C,0.1259089,
YDL194W,0.0093379,
YDL197C,-0.0856665,
YDL200C,0.0437924,0.0859075189974847
YDL214C,0.0211,0.085907601365066
YDL216C,0.0574023,0.0859076013650662
YDL230W,-0.0099,0.0859076013650663
YDL236W,0.0547844,0.0859076013650662
YDR004W,0.1894184,0.0859076013650662
YDR005C,0.0233829,
YDR006C,-0.0048494,
YDR009W,0.0710955,0.0859075189974847
YDR026C,-0.0084044,
YDR033W,-0.0046765,
YDR034C,0.1918109,
YDR035W,-0.0303234,
YDR043C,0.0346461,
YDR049W,0.2378934,
YDR057W,-0.0460964,0.0859076013650663
YDR059C,-0.0143078,0.0859076013650662
YDR063W,0.02,0.0859076013650661
YDR066C,-0.1252149,
YDR067C,0.0843118,
YDR073W,-0.0063432,0.085907518997485
YDR074W,0.0142607,0.085907601365066
YDR075W,0.0107,
YDR076W,0.1669775,
YDR079C-A,0.2320758,
YDR083W,0.2890396,0.0859076013650663
YDR096W,0.1329739,
YDR097C,0.0,
YDR098C,0.0414334,
YDR099W,-0.0186157,
YDR101C,0.2929263,
YDR103W,-0.0274807,
YDR110W,0.0212009,
YDR117C,0.074579,
YDR121W,0.0757359,
YDR122W,0.0116,
YDR123C,0.6260667,
YDR130C,0.0129265,
YDR131C,0.0345277,
YDR137W,0.3581684,
YDR143C,0.029344,
YDR146C,-0.0465986,
YDR147W,-0.0332,
YDR151C,0.0583408,
YDR155C,0.0594757,0.0859076013650662
YDR156W,0.1406928,0.0859076013650662
YDR159W,0.3024783,
YDR162C,0.197,
YDR163W,0.0727575,
YDR169C,-0.0345668,
YDR173C,0.4340765,
YDR174W,0.8765762,
YDR176W,0.6548646,
YDR179C,0.0,
YDR181C,-0.1088365,
YDR191W,0.1115745,
YDR192C,0.0790079,0.0859076013650663
YDR206W,0.0701185,0.0859076013650662
YDR213W,-0.0140086,
YDR216W,0.0502732,
YDR217C,0.1603145,0.0859076013650658
YDR219C,0.1075799,0.0859076013650662
YDR223W,-0.0444432,
YDR227W,-0.0093682,
YDR244W,0.1967378,0.0859076013650664
YDR247W,-0.0332,
YDR252W,0.0438615,
YDR253C,0.0236759,
YDR254W,0.0153306,
YDR257C,0.074679,
YDR259C,-0.0122652,
YDR260C,0.1093835,
YDR263C,0.0763091,
YDR265W,0.0387324,0.0
YDR266C,0.043,
YDR273W,0.0320104,0.0859076013650662
YDR283C,0.1122,
YDR285W,-0.0717907,
YDR289C,0.189,0.0
YDR291W,0.052735,0.0859075189974845
YDR293C,-0.0301267,0.0859076013650662
YDR295C,0.1699107,
YDR306C,0.0395284,
YDR310C,0.079423,
YDR312W,0.0351086,0.0859075189974846
YDR313C,0.0145483,
YDR314C,0.0396587,
YDR315C,0.3593257,
YDR318W,0.068619,
YDR320C,1.076067,
YDR323C,0.5453854,
YDR330W,0.029344,0.0859076013650658
YDR332W,0.6049821,
YDR334W,0.12,0.0859076013650662
YDR335W,0.1366887,
YDR358W,-0.0386028,
YDR363W-A,0.4301444,
YDR364C,0.636964,
YDR370C,-0.1320637,0.0859076013650662
YDR375C,0.2446301,
YDR378C,0.6332926,
YDR383C,0.1031569,
YDR386W,0.1676674,
YDR392W,0.3,
YDR395W,-0.086023,
YDR409W,0.035,
YDR410C,0.0588937,
YDR419W,0.0062198,
YDR421W,0.0186409,
YDR422C,0.0236901,0.0
YDR423C,0.083278,0.0859076013650662
YDR432W,1.077051,
YDR436W,-0.0089,
YDR440W,-0.0733227,0.085907571390972
YDR443C,0.4371765,
YDR448W,0.6429368,
YDR451C,-0.0454441,0.0859076013650661
YDR457W,0.172,
YDR463W,0.2969746,
YDR466W,0.04,
YDR469W,0.0430687,
YDR477W,-0.0178,
YDR480W,-0.0108414,
YDR482C,0.0442655,
YDR485C,0.1644382,
YDR488C,0.0323566,
YDR490C,0.0324,
YDR496C,0.2391841,0.0859076013650662
YDR501W,-0.0071086,
YDR507C,0.0773,
YDR514C,-0.053349,
YDR515W,0.14436,0.0859076013650662
YDR517W,-0.0289068,0.0859076013650662
YDR520C,0.0878806,
YDR523C,-0.0084,
YEL009C,0.0318087,0.0859076013650661
YEL012W,-0.0830206,
YEL013W,0.044216,
YEL015W,0.057,
YEL018W,0.037159,0.0859076013650661
YEL037C,0.0341771,
YEL043W,-0.0221275,
YEL044W,0.9785753,
YEL056W,0.025,
YEL061C,0.0661417,0.0859076013650662
YEL062W,0.1277417,
YEL066W,-0.0158356,
YER002W,0.0394429,0.0845101609596908
YER007C-A,0.0265964,0.0859075713909708
YER016W,0.2161883,
YER027C,0.0138944,
YER028C,0.0334969,
YER030W,-0.0462851,
YER031C,-0.0083801,
YER035W,0.037,
YER040W,0.3532723,0.0859076013650671
YER044C-A,-0.01,
YER045C,0.0332769,
YER049W,0.0182272,
YER059W,0.0139842,
YER063W,0.0012737,0.0859076013650663
YER064C,-0.0077605,
YER068W,1.462219,
YER069W,-0.0230975,
YER075C,-0.0043,0.0859076013650662
YER088C,-0.0407839,0.0859076013650662
YER089C,-0.0483,0.0859076013650662
YER092W,0.1646786,
YER098W,-0.031413,
YER100W,0.004707,0.0
YER105C,0.1088223,0.0859076013650662
YER106W,0.0669287,
YER110C,0.1742509,
YER111C,-0.0663759,
YER116C,0.4840097,
YER120W,0.0702256,
YER123W,0.3102,
YER129W,0.1065,
YER130C,0.0740202,
YER132C,0.2166575,0.0859013711364892
YER137C,-0.0355526,
YER139C,0.1392587,
YER142C,-0.0220749,
YER144C,-0.0843374,
YER151C,0.2500817,
YER161C,0.055,
YER162C,0.2270747,
YER164W,0.004,
YER167W,0.0741619,
YER173W,0.2464529,
YER174C,0.0661459,
YER176W,-0.0258478,
YER177W,0.0320104,
YER179W,0.0635275,
YER184C,0.115145,
YFL001W,0.2966866,0.0859075713909715
YFL007W,0.2173917,
YFL013C,0.175651,
YFL014W,0.0138944,
YFL021W,-0.0211141,
YFL028C,0.095,
YFL031W,-0.0153769,
YFL033C,0.0067,
YFL036W,0.0,
YFL044C,0.0863603,
YFL049W,0.0083929,0.0858251901904161
YFL052W,-0.0343661,
YFR001W,-0.1658192,0.0859076013650662
YFR009W,-0.0143999,0.0859076013650662
YFR010W,0.0703893,0.0859075189974848
YFR013W,0.041,0.0859076013650662
YFR014C,0.0576,
YFR019W,0.0156,0.0859076013650662
YFR023W,0.0331426,0.0859076013650662
YFR030W,0.1251869,
YFR032C,0.035453,
YFR034C,-0.0846901,
YFR036W,0.1175696,
YFR038W,0.021384,
YFR040W,0.073,
YFR046C,-0.0167076,
YGL003C,0.1643164,
YGL004C,-0.0797791,0.0859076013650662
YGL013C,-0.0305923,
YGL014W,0.0679041,
YGL016W,0.1404198,
YGL019W,0.168,
YGL021W,0.0687,
YGL023C,0.054121,
YGL025C,0.3788552,
YGL029W,0.1352484,0.0859076013650662
YGL033W,0.0161485,
YGL035C,0.2352165,
YGL037C,0.0071319,
YGL043W,0.0647472,
YGL049C,0.027434,0.0
YGL058W,0.5758603,
YGL059W,-0.0566,
YGL060W,0.0279435,
YGL062W,-0.0346079,0.0859076013650662
YGL066W,0.2189541,
YGL070C,0.9898006,
YGL071W,-0.0656893,0.085907601365066
YGL078C,0.3650102,
YGL082W,-0.1397539,0.0859076013650662
YGL083W,0.0153,
YGL085W,0.077653,
YGL086W,0.0526329,
YGL087C,0.0244946,
YGL089C,0.041031,0.0859076013650662
YGL094C,-0.0522945,
YGL096W,0.1398623,
YGL100W,0.1304378,0.0858900419073086
YGL110C,-0.0451663,
YGL115W,-0.0094603,
YGL119W,0.0498,
YGL125W,-0.0136125,
YGL127C,0.3136075,
YGL131C,0.0,
YGL133W,0.0871711,
YGL134W,0.0050939,0.0859076013650665
YGL141W,0.0045014,0.0859076013650662
YGL151W,0.0893595,
YGL158W,-0.0562,
YGL162W,-0.0029113,
YGL163C,0.1562405,
YGL166W,-0.0460807,
YGL168W,0.3193624,0.0859075189974851
YGL173C,0.7967317,
YGL174W,0.3722013,
YGL178W,-0.0120104,
YGL179C,0.1126,
YGL180W,-0.0166,0.0859076013650661
YGL181W,-0.0293156,0.0859076013650659
YGL192W,0.0238793,
YGL194C,0.0744854,
YGL195W,0.0895983,
YGL197W,-0.1169114,
YGL208W,0.0389941,
YGL209W,-0.0274807,
YGL215W,0.006625,
YGL216W,0.0645069,
YGL220W,0.0247939,
YGL222C,0.142,
YGL227W,-0.0288549,
YGL229C,-0.0596429,0.0859075189974846
YGL232W,0.2310265,0.0859076013650662
YGL237C,0.166682,
YGL240W,0.7080209,
YGL241W,0.0432121,
YGL243W,0.0145902,0.0859075189974849
YGL244W,0.3604919,
YGL246C,0.916596,
YGL251C,0.4388892,
YGL252C,0.1761197,
YGL253W,0.0690416,
YGL254W,-0.0159882,0.0859076013650659
YGL261C,0.0442946,0.0859075189974845
YGR003W,0.0460964,
YGR019W,-0.0028247,
YGR021W,-0.0028893,
YGR040W,-0.0445,
YGR044C,-0.016534,
YGR052W,0.0323,0.0859076013650661
YGR056W,0.3135271,
YGR063C,0.415,
YGR067C,-0.0291965,
YGR071C,0.0544478,0.0
YGR072W,0.0955664,
YGR080W,0.0463,
YGR081C,0.2987109,
YGR086C,0.0247708,
YGR089W,-0.0037449,
YGR097W,0.1454881,
YGR104C,0.532038,0.0859076013650662
YGR108W,0.0453217,
YGR109C,0.1011039,
YGR122W,-0.0011318,
YGR123C,-0.0205,
YGR129W,-0.0406867,0.0859076013650661
YGR133W,-0.0542616,
YGR134W,0.1522773,
YGR135W,0.4461179,
YGR152C,0.1029448,
YGR157W,1.560778,
YGR161C,0.023,0.0859075189974848
YGR173W,0.0138262,
YGR178C,0.052,
YGR180C,0.3302266,
YGR184C,0.005,
YGR200C,0.2947433,
YGR203W,-0.0468,
YGR225W,-0.0998639,
YGR229C,0.0874306,
YGR232W,0.0050532,
YGR233C,0.1299557,0.0859075189974846
YGR234W,-0.0950347,
YGR240C,0.1529519,
YGR247W,0.0881964,
YGR249W,-0.0092778,
YGR250C,0.0268703,
YGR252W,0.509,
YGR270W,0.2122807,0.0859076013650662
YGR271C-A,0.6323345,
YGR275W,-0.1134751,
YGR276C,0.0696792,
YGR283C,-0.0095543,
YGR288W,0.0877121,
YHL006C,0.0984278,
YHL007C,0.086,
YHL009C,-0.106814,
YHL010C,0.0230836,
YHL020C,0.3847851,
YHL022C,-0.0639158,
YHL024W,0.0562475,
YHL025W,0.3538324,
YHL027W,0.0315418,0.0859076013650662
YHL029C,0.1535305,
YHL034C,0.1085019,0.085907515006515
YHR003C,-0.0611835,
YHR004C,0.0102,
YHR006W,0.0823313,
YHR014W,-0.0662386,
YHR015W,0.0120762,
YHR025W,1.145851,
YHR030C,-0.047,
YHR031C,0.0128359,
YHR032W,0.0093379,
YHR033W,0.0556454,
YHR034C,0.3161473,0.0859076013650658
YHR041C,0.5173361,
YHR066W,0.2691541,0.0859076013650662
YHR071W,0.1405265,
YHR076W,-0.0288,
YHR077C,0.1337708,
YHR079C,0.0217,
YHR081W,0.5618789,
YHR082C,0.0397,
YHR084W,-0.0039939,
YHR087W,0.0884614,
YHR108W,0.0236126,0.0859076013650662
YHR111W,0.1349296,
YHR115C,0.005,
YHR119W,0.0560791,
YHR120W,0.1935852,
YHR121W,0.0858851,
YHR124W,-0.008641,
YHR127W,-0.0600248,
YHR134W,0.1035764,
YHR135C,0.0234,0.0857917884475797
YHR143W,0.0330583,
YHR146W,-0.0065219,
YHR152W,-0.0683979,
YHR154W,0.10318,
YHR156C,0.0162075,
YHR157W,0.0078202,
YHR167W,0.0683458,
YHR178W,0.4844033,
YHR187W,0.1496818,0.0859076013650663
YHR191C,0.156469,
YHR192W,0.0554147,0.0859076013650661
YHR193C,0.103951,
YHR195W,0.0045583,
YHR200W,0.2680178,
YHR202W,-0.0988367,0.0859076013650662
YHR206W,0.0840643,
YIL001W,-0.05576,
YIL008W,0.1848092,
YIL009C-A,0.3027155,0.0859075189974842
YIL010W,-0.0359862,
YIL016W,-0.0564798,0.0859076013650662
YIL017C,0.0787541,
YIL030C,-0.066671,0.0859076013650662
YIL035C,0.0508,
YIL036W,0.6354083,
YIL038C,0.5178325,0.0859075929308009
YIL040W,0.2020018,
YIL042C,0.0143,
YIL056W,0.0573939,
YIL071C,0.0211388,
YIL072W,0.1152381,
YIL073C,0.02,
YIL079C,0.1086667,
YIL084C,0.2131161,
YIL095W,0.016,
YIL101C,0.1331941,
YIL112W,-0.0276279,
YIL113W,-0.035,
YIL117C,-0.02173,
YIL119C,0.0426443,
YIL122W,0.2078199,
YIL123W,0.0729971,
YIL127C,0.0365779,
YIL128W,0.8288298,
YIL130W,-0.0591268,
YIL131C,0.0072358,
YIL132C,0.0384685,
YIL149C,0.0278342,
YIL153W,-0.0700487,
YIL156W,-0.0268833,0.0859076013650662
YIR001C,-0.0267487,
YIR002C,-0.0393471,
YIR005W,0.3379171,
YIR009W,0.0395306,
YIR013C,-0.0178384,
YIR017C,0.083331,
YIR018W,-0.0682366,
YIR019C,0.0044735,0.0859076013650661
YIR023W,0.0920858,
YIR025W,-0.0249176,
YIR026C,0.937,
YIR033W,0.6199329,
YJL013C,0.0591853,
YJL030W,-0.0603565,
YJL043W,0.0271319,
YJL048C,-0.0605415,
YJL049W,0.1395658,
YJL056C,0.403199,
YJL057C,0.0185,
YJL058C,0.1164017,
YJL065C,0.0638047,
YJL080C,-0.1006215,0.0859076013650661
YJL089W,-0.0836277,
YJL092W,0.0786605,
YJL095W,-0.0117,0.0859076013650663
YJL098W,-0.049,
YJL103C,-0.0157565,
YJL105W,-0.1122459,0.0859076013650662
YJL106W,-0.0185,
YJL110C,-0.0689946,
YJL115W,0.4084571,
YJL124C,0.2705919,0.0859076013650662
YJL128C,0.0049,
YJL138C,-0.1252425,
YJL141C,-0.0153,
YJL149W,-0.0353743,0.0859076013650662
YJL153C,-0.0071631,
YJL157C,0.03,
YJL164C,0.0236,0.0859075189974845
YJL165C,-0.0325,
YJL176C,0.346864,
YJL187C,0.0021,
YJL197W,0.0045014,
YJL206C,0.1008278,
YJL210W,-0.01543,
YJR014W,0.1224468,
YJR021C,0.0422123,
YJR030C,0.132055,
YJR031C,-0.0097022,0.0859076013650663
YJR036C,0.0183785,
YJR043C,0.0002735,
YJR050W,0.1148753,
YJR052W,0.0389941,
YJR053W,0.0589421,
YJR059W,0.0054,
YJR060W,0.6167476,
YJR063W,0.4094205,0.0859076013650663
YJR066W,0.044,
YJR069C,-0.0565741,
YJR073C,1.969787,
YJR082C,0.148267,0.085907601365066
YJR084W,-0.0048988,
YJR090C,0.91,
YJR091C,-0.0047611,0.0859076013650663
YJR094C,0.0834473,
YJR096W,0.0141139,
YJR099W,0.0369942,
YJR119C,-0.0251659,
YJR122W,0.5787767,
YJR127C,0.0330876,
YJR135C,-0.0294724,
YJR140C,-0.0137863,
YKL002W,0.6641327,
YKL005C,0.0052661,
YKL009W,0.4732275,
YKL010C,-0.03,
YKL011C,0.3006847,0.0859076013650664
YKL015W,-0.1526926,
YKL017C,0.031551,0.0859076013650664
YKL020C,-0.0110109,
YKL025C,0.006,
YKL027W,0.0092185,
YKL029C,-0.0306445,
YKL032C,0.0519704,0.0859076013650662
YKL034W,0.0337206,0.0859076013650663
YKL038W,-0.0236126,
YKL043W,0.0438576,
YKL048C,0.2167,
YKL057C,0.3251155,
YKL062W,-0.0372329,0.0
YKL067W,0.0673994,
YKL068W,0.0236901,0.085907601365066
YKL072W,-0.0148419,
YKL074C,0.1979902,
YKL086W,0.0901204,
YKL090W,-0.0050356,
YKL091C,-0.0448618,0.0859076013650663
YKL101W,-0.0099,
YKL107W,-0.0721008,0.0858993774930925
YKL109W,0.0780025,0.0859076013650662
YKL110C,0.2349291,
YKL113C,0.2110823,
YKL114C,0.0156218,
YKL116C,0.0269,
YKL126W,0.3925,
YKL130C,-0.0290508,
YKL139W,1.0642,
YKL143W,0.7048824,
YKL149C,0.1489168,
YKL160W,0.1108041,
YKL161C,-0.0357,
YKL166C,0.0697,
YKL168C,-0.0023,0.0859076013650662
YKL171W,-0.0088,0.0859076013650663
YKL185W,0.0828514,
YKL190W,0.166,
YKL198C,-0.004,0.0859076013650662
YKL205W,0.0739192,
YKL206C,0.0099497,
YKL212W,0.2526744,0.0852225536117992
YKL213C,0.1520031,0.0859076013650662
YKL214C,0.0425174,
YKL222C,0.0017881,
YKR001C,0.0366815,
YKR010C,0.0819248,0.0859076013650662
YKR017C,-0.0281969,
YKR021W,-0.0096502,
YKR023W,-0.1075617,
YKR028W,0.061,
YKR029C,0.0971332,
YKR034W,0.02,
YKR036C,0.12,
YKR039W,0.02,
YKR048C,-0.041386,
YKR054C,0.1831263,0.0859076013650659
YKR060W,0.0425078,0.0859076013650659
YKR064W,0.0501988,
YKR067W,-0.0545225,0.0
YKR072C,0.4182853,
YKR082W,0.6470879,
YKR091W,-0.1099628,
YKR095W,0.0819416,
YKR098C,0.0044322,
YKR099W,-0.1091418,
YKR101W,0.0330305,
YLL002W,0.4338901,
YLL010C,-0.0551,
YLL013C,0.0487115,
YLL019C,-0.0472,
YLL022C,0.0048658,
YLL032C,-0.0117839,0.0859076013650662
YLL039C,0.0,
YLL040C,0.0608289,
YLL042C,-0.0198996,
YLL046C,-0.0027723,
YLL048C,-0.0077546,0.0859076013650662
YLL054C,0.0211689,
YLR006C,-0.0039184,
YLR013W,0.0391154,
YLR014C,0.1508821,
YLR015W,0.1602098,
YLR016C,0.0780518,
YLR018C,0.1220919,0.0859076013650662
YLR019W,-0.037,
YLR021W,0.2597025,
YLR025W,0.1435441,0.0859076013650664
YLR032W,0.1710151,
YLR035C,0.0714133,0.0859076013650658
YLR039C,0.2609267,
YLR043C,0.0196443,
YLR052W,0.5328293,
YLR055C,0.0646934,
YLR059C,0.0465613,
YLR074C,0.3277111,
YLR085C,0.0201541,
YLR094C,0.0835234,
YLR095C,0.054,
YLR096W,0.0378,
YLR097C,0.0634791,
YLR098C,0.0182464,
YLR102C,-0.0049492,
YLR107W,-0.0099254,0.0
YLR113W,0.0548,
YLR119W,0.1078033,
YLR120C,0.0050947,
YLR128W,-0.0048988,
YLR131C,-0.0193063,
YLR133W,-0.0278,
YLR135W,-0.0494862,0.0859076013650659
YLR136C,0.0045155,
YLR142W,-0.0317219,
YLR143W,0.0849384,
YLR148W,0.2696071,
YLR150W,0.152001,
YLR154C,0.09,
YLR174W,0.0346032,
YLR176C,-0.170875,
YLR180W,-0.0160292,
YLR182W,0.6155671,0.0859076013650662
YLR183C,0.0390668,0.0859075713909716
YLR192C,0.5013478,
YLR199C,0.049753,
YLR210W,-0.0324256,
YLR216C,0.0899166,
YLR219W,0.0277934,
YLR221C,0.085542,
YLR224W,-0.0329504,
YLR226W,0.7617017,
YLR228C,-0.019719,
YLR233C,0.1441603,0.0
YLR234W,0.2557256,
YLR247C,0.0046464,
YLR248W,0.0612,
YLR253W,0.0514,
YLR256W,-0.029491,
YLR260W,0.0931,
YLR262C,0.2377915,
YLR263W,-0.0494522,0.0859076013650663
YLR265C,-0.1967191,
YLR266C,-0.0063819,
YLR270W,0.1197392,
YLR271W,0.1293995,0.0859076013650662
YLR273C,0.0324215,
YLR278C,-0.0133578,
YLR288C,0.2338137,
YLR296W,-0.0938019,
YLR304C,1.41052,
YLR306W,0.0429263,
YLR309C,-0.0465954,
YLR315W,0.4266924,0.0859076013650662
YLR318W,-0.0636181,
YLR319C,0.0588933,
YLR320W,0.3928754,
YLR329W,-0.0027969,
YLR335W,0.0850206,
YLR342W,0.1620526,
YLR352W,0.0906026,
YLR357W,0.7511498,
YLR361C,0.015,
YLR362W,-0.0414,
YLR363C,-0.0212949,0.0859076013650659
YLR368W,0.1459404,
YLR375W,0.1652621,
YLR381W,0.0871426,
YLR384C,0.1424869,
YLR385C,-0.03,
YLR387C,0.0337035,
YLR389C,0.1212314,
YLR394W,0.0,
YLR398C,0.068387,
YLR401C,0.1137369,
YLR418C,0.498,
YLR419W,0.0205809,
YLR425W,0.0,
YLR427W,0.005,
YLR429W,-0.0777045,
YLR433C,0.0159,
YLR436C,0.2588098,
YLR438W,0.2150787,0.0859076013650662
YLR442C,0.0231577,
YLR445W,-0.0131785,
YLR449W,0.0058401,
YLR451W,-0.0798925,0.0859076013650662
YLR453C,-0.110608,
YLR455W,0.0491806,0.0
YML001W,-0.1748084,
YML006C,0.1515189,
YML007W,-0.041517,
YML011C,-0.0126654,0.085907601365066
YML013W,0.3660381,
YML016C,0.0003,
YML027W,0.1367819,
YML032C,0.3060462,0.0859076013650659
YML034W,0.1447996,
YML036W,0.532,
YML041C,0.2263921,
YML051W,0.0817761,
YML057W,-0.0464,
YML058W,-0.1108196,
YML058W-A,0.0697124,
YML061C,0.2741241,0.0859075189974849
YML062C,0.1046851,
YML068W,0.0,
YML070W,-0.0447951,
YML072C,-0.0408414,
YML074C,-0.0325196,0.0859076013650662
YML075C,0.07,
YML076C,0.1143005,
YML081W,0.1067998,
YML082W,-0.0333564,
YML088W,0.0509512,
YML095C,0.0208726,0.0859075189974848
YML099C,-0.0284216,0.0859076013650661
YML101C,-0.0554951,0.0859076013650658
YML102W,-0.1734511,
YML103C,0.1066545,
YML107C,0.0161014,
YML109W,0.0182874,
YML111W,-0.02301,
YML113W,-0.0598511,
YML117W,0.1091519,
YML118W,0.0475302,
YML119W,-0.0472277,
YML121W,0.2378552,
YML123C,0.0,0.0859076013650663
YML124C,0.1913779,
YML128C,0.147795,
YMR012W,0.041678,0.0859076013650662
YMR014W,0.6741483,
YMR016C,-0.0046019,
YMR019W,0.1040998,
YMR021C,-0.0533779,0.0859076013650663
YMR022W,-0.0730018,
YMR025W,0.0,
YMR026C,-0.03,0.0859075189974849
YMR030W,0.0611102,0.0319305398993917
YMR036C,-0.0089,0.085907518997485
YMR037C,-0.0514468,
YMR039C,0.0656353,0.0859076013650663
YMR042W,0.0040929,
YMR044W,0.068,
YMR048W,0.0147617,
YMR053C,-0.0225501,
YMR055C,0.0147093,
YMR065W,0.0592659,
YMR067C,-0.0249176,
YMR069W,-0.0467376,0.0859076013650663
YMR070W,0.0819187,
YMR072W,0.0143554,
YMR074C,0.0818004,
YMR075W,0.0017119,
YMR078C,0.2087631,
YMR080C,0.0728635,0.0859076013650663
YMR091C,0.75739,
YMR100W,-0.0375968,
YMR104C,-0.0208,
YMR106C,0.0225074,
YMR119W,-0.004817,
YMR127C,-0.167,
YMR129W,0.0047692,
YMR133W,-0.0466526,
YMR136W,0.0963497,
YMR137C,-0.0139261,
YMR138W,-0.0718371,
YMR139W,0.0399,
YMR145C,0.0014032,
YMR152W,0.0665944,
YMR153W,0.0876015,0.0859076013650662
YMR156C,0.0021291,
YMR164C,-0.0278342,
YMR167W,-0.0590445,
YMR172W,0.1635806,
YMR173W,0.1648691,
YMR177W,0.1073688,
YMR179W,0.4187249,0.0859076013650662
YMR180C,-0.0836945,0.0
YMR182C,0.0753233,
YMR186W,-0.0407856,
YMR190C,0.22559,
